Variable,MAE,RMSE,R2,MAPE
QV1_AI01,0.000117109,0.000157616,0.973409054,4.296793228
QV2_AI02,0.019481261,0.025812798,0.904334106,7.530604763
SV1_FI05,249.473116,354.9601383,0.958627253,0.417076471
SV2_FI06,114.0807128,161.7764545,0.962117321,0.494301751
SV3_TI06,0.149032679,0.270844757,0.956571466,0.349139953
SV4_TI01,0.146628466,0.183883454,0.833981191,0.431438164
SV5_PI06,0.035569701,0.055567514,0.963266857,0.197193943
SV6_AT02,0.020743877,0.025756298,0.87399728,3.606677865
SV7_TI02,0.16332518,0.22124835,0.954100866,0.433311307
SV8_TI03,0.017318034,0.022766191,0.906912294,0.059758685
SV9_FT04,36.74696529,53.33997812,0.94553147,39424917511
SV10_TI04,0.015550578,0.024940985,0.752552981,0.062478598
SV11_TI05,0.224300763,0.350904442,0.931633721,0.533100555
SV12_TI07,0.078909711,0.119593919,0.981495002,0.270154223
SV13_FIC02,116.1593746,163.1142646,0.963426352,0.565037786
SV14_TI08,0.024217045,0.034621767,0.917026424,0.085194626
SV15_TIC12,0.051452284,0.085480218,0.676444987,0.158315064
SV16_TI09,0.025031377,0.042164603,0.774424082,0.101993862
SV17_PI04,0.007218204,0.012129671,0.773648806,0.062866525
SV18_PIC03,0.007230596,0.012157916,0.772593449,0.062974798
SV19_TI10,0.025027769,0.042177872,0.774282081,0.101978404
SV20_PI05,0.036036371,0.056361971,0.96220899,0.199728566
SV21_TI11,0.163826777,0.222026209,0.97327431,0.297650716
SV22_PIC02,0.004510461,0.007260736,0.744859484,0.038946027
SV23_FIC01,452.5182687,612.45381,0.98947701,0.526473073
SV24_FIC02,3676.459182,6042.567954,0.85336502,240.5494882
