Variable,MAE,RMSE,R2,MAPE
QV1_AI01,0.000777834,0.000943776,0.046609844,29.35288019
QV2_AI02,0.078892501,0.100434023,-0.44826715,31.43361509
SV1_FI05,1241.3535,1566.563692,0.194155403,2.093644107
SV2_FI06,713.5487303,871.5579935,-0.099518738,3.096982825
SV3_TI06,1.020263221,1.400307299,-0.160863121,2.421084875
SV4_TI01,0.541333696,0.664398467,-1.167350901,1.597955007
SV5_PI06,0.235959855,0.311510001,-0.154410183,1.31828546
SV6_AT02,0.080508085,0.098674799,-0.849377298,13.72189236
SV7_TI02,1.024653647,1.238774055,-0.438893357,2.722542424
SV8_TI03,0.081982483,0.102806829,-0.898259187,0.283052473
SV9_FT04,220.0463169,281.0228415,-0.511900557,2.77349E+11
SV10_TI04,0.05010923,0.067829834,-0.830191404,0.201335455
SV11_TI05,1.295689163,1.663663134,-0.5367209,3.114136344
SV12_TI07,0.67068435,0.852848654,0.058945495,2.300928454
SV13_FIC02,742.0760473,904.2925175,-0.124093081,3.613082963
SV14_TI08,0.132508719,0.162803226,-0.834709732,0.466257314
SV15_TIC12,0.163719505,0.217404993,-1.092935891,0.504114004
SV16_TI09,0.107925462,0.144470692,-1.648233073,0.439917504
SV17_PI04,0.030791338,0.041198268,-1.611215096,0.268240685
SV18_PIC03,0.030772736,0.041170986,-1.607757884,0.268078595
SV19_TI10,0.107848827,0.144331191,-1.643121284,0.439604279
SV20_PI05,0.235498167,0.310834492,-0.149408934,1.315653985
SV21_TI11,1.20307224,1.455209227,-0.148077789,2.202569478
SV22_PIC02,0.014665499,0.019724942,-0.882996835,0.126630174
SV23_FIC01,1487.799061,2016.235708,0.885955311,1.726085344
SV24_FIC02,17646.60177,22472.30019,-1.02810088,836.3532237
