Variable,MAE,RMSE,R2,MAPE
QV1_AI01,0.0003712781642162134,0.00047316617487667896,0.7603593166677072,12.777247839898187
QV2_AI02,0.05750566620911628,0.07354344401946038,0.2234402235917371,21.336046559325013
SV1_FI05,917.4848564015632,1212.2053486690759,0.5174886021865478,1.5573294166796927
SV2_FI06,630.1169112362418,791.594039506947,0.0929837144009038,2.7145726263272607
SV3_TI06,0.5742640186881486,0.9078923632739799,0.5120188620759206,1.3667578667968794
SV4_TI01,0.3300931099640313,0.4120209459541134,0.16649045689418962,0.9751113695566739
SV5_PI06,0.13214979886190706,0.17880050627291705,0.6196760731019626,0.7383931714419821
SV6_AT02,0.0519948390491434,0.0653208773052082,0.18956714210609604,8.754166448761008
SV7_TI02,0.7197051391329532,0.9123209595028229,0.21955965819973366,1.9176737807795559
SV8_TI03,0.05749158978053573,0.07748879970385412,-0.07842377492348507,0.1984516017915884
SV9_FT04,187.44599208675677,239.94200906229707,-0.10218010490374851,127752646413.60071
SV10_TI04,0.04283247744993475,0.06240614864427194,-0.5492081384253924,0.17206582035258217
SV11_TI05,0.9768479805592314,1.2478151599090779,0.1355005384580087,2.348496977999677
SV12_TI07,0.3511716806519834,0.48314574101102564,0.697985946281124,1.2054302164882829
SV13_FIC02,650.7677521079551,817.6774956508817,0.08093021124042121,3.142296766966531
SV14_TI08,0.12372618593531663,0.1539841798057307,-0.6413211305462958,0.43502826047056514
SV15_TIC12,0.12356943728930031,0.17468858874412924,-0.3512819286660065,0.38031442857837444
SV16_TI09,0.07192726558128978,0.0989407360574132,-0.24207258235117024,0.2931844202458218
SV17_PI04,0.020536806555752917,0.028262308873394315,-0.22885318129524546,0.17890883916199246
SV18_PIC03,0.020538684542316853,0.028265174998575653,-0.22910243379977624,0.1789253265492261
SV19_TI10,0.07190197167355013,0.09890205513779303,-0.24110159466451497,0.2930794058385419
SV20_PI05,0.13212033466690645,0.17869420793840216,0.6201281499279427,0.7381953494665051
SV21_TI11,0.9429067258745236,1.1922802522043656,0.22931459033920587,1.7305101367051705
SV22_PIC02,0.012207184131351204,0.017867767183706817,-0.5451073983048995,0.10539417489796156
SV23_FIC01,1337.9757192827299,1663.438199116893,0.9223742509317614,1.542471005674414
SV24_FIC02,13330.555235851245,17613.218421049743,-0.24586773822725494,409.0702321385851
