Variable,MAE
QV1_AI01,0.0002230207305713104
QV2_AI02,0.03470034492802504
SV1_FI05,361.9554237367644
SV2_FI06,202.3941024387621
SV3_TI06,0.27479114194732623
SV4_TI01,0.23642764556898774
SV5_PI06,0.05167939996610833
SV6_AT02,0.03326578871144554
SV7_TI02,0.3302591221355848
SV8_TI03,0.03448754965339061
SV9_FT04,72.17611993603859
SV10_TI04,0.0256175122664955
SV11_TI05,0.3722661331050251
SV12_TI07,0.20972116617799924
SV13_FIC02,207.36688839890465
SV14_TI08,0.05430275613092018
SV15_TIC12,0.06713979409368233
SV16_TI09,0.04216026838831202
SV17_PI04,0.012063573703401255
SV18_PIC03,0.01198145087851968
SV19_TI10,0.0421267667807241
SV20_PI05,0.051685815196259935
SV21_TI11,0.28681960932499345
SV22_PIC02,0.0073682516164791925
SV23_FIC01,537.0037282097196
SV24_FIC02,5469.42419455181
